v,omega,x,y,phi,xr,yr,phir,delta
0.5129,0.8238,0.0000,-0.1483,-0.2310,0.0000,0.0000,0.0000,0.2564
0.5753,0.6623,0.0997,-0.1612,-0.2145,0.0000,0.0000,0.0000,0.2498
0.6013,0.5715,0.1998,-0.1712,-0.2013,0.0000,0.0000,0.0000,0.2425
0.6068,0.5173,0.3002,-0.1795,-0.1898,0.0000,0.0000,0.0000,0.2344
0.6005,0.4818,0.4007,-0.1864,-0.1795,0.0000,0.0000,0.0000,0.2259
0.5872,0.4558,0.5013,-0.1924,-0.1699,0.0000,0.0000,0.0000,0.2174
0.5702,0.4346,0.6018,-0.1978,-0.1607,0.0000,0.0000,0.0000,0.2089
0.5511,0.4160,0.7023,-0.2025,-0.1520,0.0000,0.0000,0.0000,0.2005
0.5311,0.3988,0.8029,-0.2068,-0.1437,0.0000,0.0000,0.0000,0.1923
0.5107,0.3825,0.9034,-0.2106,-0.1357,0.0000,0.0000,0.0000,0.1842
0.4903,0.3667,1.0038,-0.2140,-0.1281,0.0000,0.0000,0.0000,0.1765
0.4703,0.3515,1.1042,-0.2170,-0.1208,0.0000,0.0000,0.0000,0.1689
0.4507,0.3367,1.2047,-0.2198,-0.1137,0.0000,0.0000,0.0000,0.1616
0.4317,0.3225,1.3050,-0.2221,-0.1070,0.0000,0.0000,0.0000,0.1546
0.4132,0.3087,1.4054,-0.2242,-0.1006,0.0000,0.0000,0.0000,0.1479
0.3954,0.2954,1.5057,-0.2261,-0.0944,0.0000,0.0000,0.0000,0.1414
0.3783,0.2826,1.6060,-0.2276,-0.0885,0.0000,0.0000,0.0000,0.1352
0.3618,0.2703,1.7063,-0.2289,-0.0828,0.0000,0.0000,0.0000,0.1292
0.3459,0.2585,1.8065,-0.2300,-0.0774,0.0000,0.0000,0.0000,0.1235
0.3307,0.2471,1.9068,-0.2308,-0.0722,0.0000,0.0000,0.0000,0.1180
0.3161,0.2362,2.0070,-0.2314,-0.0673,0.0000,0.0000,0.0000,0.1128
0.3021,0.2257,2.1072,-0.2318,-0.0626,0.0000,0.0000,0.0000,0.1077
0.2886,0.2157,2.2074,-0.2321,-0.0581,0.0000,0.0000,0.0000,0.1029
0.2757,0.2060,2.3075,-0.2321,-0.0537,0.0000,0.0000,0.0000,0.0982
0.2633,0.1968,2.4077,-0.2320,-0.0496,0.0000,0.0000,0.0000,0.0938
0.2515,0.1879,2.5078,-0.2317,-0.0457,0.0000,0.0000,0.0000,0.0895
0.2401,0.1794,2.6080,-0.2312,-0.0419,0.0000,0.0000,0.0000,0.0854
0.2292,0.1713,2.7081,-0.2306,-0.0383,0.0000,0.0000,0.0000,0.0815
0.2187,0.1635,2.8082,-0.2299,-0.0349,0.0000,0.0000,0.0000,0.0777
0.2086,0.1559,2.9083,-0.2290,-0.0316,0.0000,0.0000,0.0000,0.0741
0.1990,0.1487,3.0083,-0.2280,-0.0285,0.0000,0.0000,0.0000,0.0706
0.1897,0.1418,3.1084,-0.2268,-0.0256,0.0000,0.0000,0.0000,0.0673
0.1808,0.1352,3.2085,-0.2256,-0.0227,0.0000,0.0000,0.0000,0.0640
0.1723,0.1288,3.3085,-0.2243,-0.0200,0.0000,0.0000,0.0000,0.0610
0.1641,0.1227,3.4086,-0.2228,-0.0174,0.0000,0.0000,0.0000,0.0580
0.1562,0.1168,3.5086,-0.2213,-0.0150,0.0000,0.0000,0.0000,0.0552
0.1486,0.1111,3.6087,-0.2197,-0.0126,0.0000,0.0000,0.0000,0.0524
0.1413,0.1057,3.7087,-0.2179,-0.0104,0.0000,0.0000,0.0000,0.0498
0.1344,0.1005,3.8087,-0.2162,-0.0083,0.0000,0.0000,0.0000,0.0473
0.1277,0.0955,3.9087,-0.2143,-0.0063,0.0000,0.0000,0.0000,0.0448
0.1212,0.0907,4.0088,-0.2124,-0.0044,0.0000,0.0000,0.0000,0.0425
0.1150,0.0861,4.1088,-0.2104,-0.0026,0.0000,0.0000,0.0000,0.0403
0.1091,0.0816,4.2088,-0.2084,-0.0009,0.0000,0.0000,0.0000,0.0381
0.1034,0.0774,4.3088,-0.2063,0.0008,0.0000,0.0000,0.0000,0.0361
0.0979,0.0733,4.4088,-0.2041,0.0023,0.0000,0.0000,0.0000,0.0341
0.0926,0.0693,4.5088,-0.2019,0.0038,0.0000,0.0000,0.0000,0.0322
0.0875,0.0656,4.6088,-0.1997,0.0052,0.0000,0.0000,0.0000,0.0304
0.0827,0.0619,4.7087,-0.1974,0.0065,0.0000,0.0000,0.0000,0.0286
0.0780,0.0585,4.8087,-0.1951,0.0077,0.0000,0.0000,0.0000,0.0269
0.0736,0.0551,4.9087,-0.1928,0.0089,0.0000,0.0000,0.0000,0.0253
0.0693,0.0519,5.0087,-0.1904,0.0100,0.0000,0.0000,0.0000,0.0238
0.0651,0.0488,5.1087,-0.1880,0.0110,0.0000,0.0000,0.0000,0.0223
0.0612,0.0459,5.2087,-0.1856,0.0120,0.0000,0.0000,0.0000,0.0209
0.0574,0.0431,5.3086,-0.1832,0.0129,0.0000,0.0000,0.0000,0.0195
0.0538,0.0403,5.4086,-0.1808,0.0138,0.0000,0.0000,0.0000,0.0182
0.0503,0.0377,5.5086,-0.1783,0.0146,0.0000,0.0000,0.0000,0.0169
0.0469,0.0352,5.6086,-0.1759,0.0154,0.0000,0.0000,0.0000,0.0157
0.0437,0.0328,5.7085,-0.1734,0.0161,0.0000,0.0000,0.0000,0.0146
0.0407,0.0306,5.8085,-0.1709,0.0167,0.0000,0.0000,0.0000,0.0135
0.0377,0.0284,5.9085,-0.1684,0.0173,0.0000,0.0000,0.0000,0.0124
0.0349,0.0263,6.0085,-0.1659,0.0179,0.0000,0.0000,0.0000,0.0114
0.0322,0.0242,6.1084,-0.1634,0.0184,0.0000,0.0000,0.0000,0.0105
0.0296,0.0223,6.2084,-0.1610,0.0189,0.0000,0.0000,0.0000,0.0095
0.0272,0.0205,6.3084,-0.1585,0.0193,0.0000,0.0000,0.0000,0.0087
0.0248,0.0187,6.4083,-0.1560,0.0198,0.0000,0.0000,0.0000,0.0078
0.0225,0.0170,6.5083,-0.1535,0.0201,0.0000,0.0000,0.0000,0.0070
0.0204,0.0154,6.6083,-0.1511,0.0205,0.0000,0.0000,0.0000,0.0062
0.0183,0.0139,6.7083,-0.1486,0.0208,0.0000,0.0000,0.0000,0.0055
0.0164,0.0124,6.8082,-0.1462,0.0211,0.0000,0.0000,0.0000,0.0048
0.0145,0.0110,6.9082,-0.1437,0.0213,0.0000,0.0000,0.0000,0.0041
0.0127,0.0096,7.0082,-0.1413,0.0215,0.0000,0.0000,0.0000,0.0035
0.0110,0.0084,7.1081,-0.1389,0.0217,0.0000,0.0000,0.0000,0.0029
0.0093,0.0071,7.2081,-0.1365,0.0219,0.0000,0.0000,0.0000,0.0023
0.0078,0.0060,7.3081,-0.1341,0.0220,0.0000,0.0000,0.0000,0.0018
0.0063,0.0049,7.4081,-0.1318,0.0221,0.0000,0.0000,0.0000,0.0012
0.0049,0.0038,7.5080,-0.1294,0.0222,0.0000,0.0000,0.0000,0.0007
0.0035,0.0028,7.6080,-0.1271,0.0223,0.0000,0.0000,0.0000,0.0003
0.0023,0.0019,7.7080,-0.1248,0.0224,0.0000,0.0000,0.0000,-0.0002
0.0011,0.0010,7.8079,-0.1225,0.0224,0.0000,0.0000,0.0000,-0.0006
-0.0001,0.0001,7.9079,-0.1203,0.0224,0.0000,0.0000,0.0000,-0.0010
-0.0012,-0.0007,8.0079,-0.1180,0.0224,0.0000,0.0000,0.0000,-0.0014
-0.0022,-0.0015,8.1079,-0.1158,0.0224,0.0000,0.0000,0.0000,-0.0018
-0.0032,-0.0022,8.2078,-0.1136,0.0224,0.0000,0.0000,0.0000,-0.0021
-0.0041,-0.0029,8.3078,-0.1114,0.0223,0.0000,0.0000,0.0000,-0.0024
-0.0050,-0.0036,8.4078,-0.1093,0.0223,0.0000,0.0000,0.0000,-0.0027
-0.0059,-0.0042,8.5078,-0.1072,0.0222,0.0000,0.0000,0.0000,-0.0030
-0.0066,-0.0048,8.6078,-0.1051,0.0221,0.0000,0.0000,0.0000,-0.0033
-0.0074,-0.0054,8.7077,-0.1030,0.0220,0.0000,0.0000,0.0000,-0.0035
-0.0081,-0.0059,8.8077,-0.1009,0.0219,0.0000,0.0000,0.0000,-0.0038
-0.0087,-0.0064,8.9077,-0.0989,0.0218,0.0000,0.0000,0.0000,-0.0040
-0.0093,-0.0068,9.0077,-0.0969,0.0217,0.0000,0.0000,0.0000,-0.0042
-0.0099,-0.0073,9.1077,-0.0949,0.0215,0.0000,0.0000,0.0000,-0.0044
-0.0105,-0.0077,9.2076,-0.0929,0.0214,0.0000,0.0000,0.0000,-0.0046
-0.0110,-0.0081,9.3076,-0.0910,0.0212,0.0000,0.0000,0.0000,-0.0048
