v,omega,x,y,phi,xr,yr,phir,delta
0.5129,0.8238,0.0000,-0.1483,-0.2310,0.0000,0.0000,0.0000,0.2565
0.5754,0.6624,0.0997,-0.1612,-0.2145,0.0000,0.0000,0.0000,0.2475
0.5988,0.5698,0.1999,-0.1712,-0.2013,0.0000,0.0000,0.0000,0.2388
0.6012,0.5135,0.3002,-0.1795,-0.1899,0.0000,0.0000,0.0000,0.2303
0.5927,0.4764,0.4007,-0.1866,-0.1796,0.0000,0.0000,0.0000,0.2220
0.5784,0.4495,0.5012,-0.1928,-0.1701,0.0000,0.0000,0.0000,0.2139
0.5614,0.4283,0.6017,-0.1983,-0.1611,0.0000,0.0000,0.0000,0.2061
0.5431,0.4101,0.7022,-0.2032,-0.1525,0.0000,0.0000,0.0000,0.1985
0.5244,0.3938,0.8027,-0.2077,-0.1443,0.0000,0.0000,0.0000,0.1911
0.5056,0.3786,0.9032,-0.2117,-0.1364,0.0000,0.0000,0.0000,0.1839
0.4872,0.3642,1.0036,-0.2153,-0.1289,0.0000,0.0000,0.0000,0.1769
0.4691,0.3503,1.1041,-0.2185,-0.1216,0.0000,0.0000,0.0000,0.1701
0.4514,0.3370,1.2045,-0.2213,-0.1146,0.0000,0.0000,0.0000,0.1635
0.4342,0.3241,1.3048,-0.2238,-0.1078,0.0000,0.0000,0.0000,0.1571
0.4175,0.3116,1.4052,-0.2259,-0.1014,0.0000,0.0000,0.0000,0.1509
0.4012,0.2994,1.5055,-0.2277,-0.0951,0.0000,0.0000,0.0000,0.1449
0.3854,0.2877,1.6058,-0.2292,-0.0891,0.0000,0.0000,0.0000,0.1391
0.3701,0.2763,1.7061,-0.2304,-0.0834,0.0000,0.0000,0.0000,0.1334
0.3552,0.2652,1.8064,-0.2314,-0.0779,0.0000,0.0000,0.0000,0.1279
0.3408,0.2544,1.9066,-0.2321,-0.0726,0.0000,0.0000,0.0000,0.1226
0.3268,0.2440,2.0069,-0.2325,-0.0675,0.0000,0.0000,0.0000,0.1174
0.3133,0.2339,2.1071,-0.2327,-0.0626,0.0000,0.0000,0.0000,0.1124
0.3001,0.2241,2.2073,-0.2327,-0.0579,0.0000,0.0000,0.0000,0.1076
0.2874,0.2147,2.3075,-0.2325,-0.0534,0.0000,0.0000,0.0000,0.1029
0.2751,0.2055,2.4076,-0.2321,-0.0491,0.0000,0.0000,0.0000,0.0984
0.2632,0.1966,2.5078,-0.2316,-0.0450,0.0000,0.0000,0.0000,0.0940
0.2516,0.1880,2.6079,-0.2308,-0.0411,0.0000,0.0000,0.0000,0.0897
0.2404,0.1796,2.7080,-0.2299,-0.0373,0.0000,0.0000,0.0000,0.0856
0.2296,0.1716,2.8081,-0.2288,-0.0337,0.0000,0.0000,0.0000,0.0817
0.2191,0.1638,2.9082,-0.2276,-0.0303,0.0000,0.0000,0.0000,0.0778
0.2090,0.1562,3.0083,-0.2262,-0.0270,0.0000,0.0000,0.0000,0.0741
0.1992,0.1489,3.1084,-0.2248,-0.0239,0.0000,0.0000,0.0000,0.0705
0.1898,0.1419,3.2085,-0.2232,-0.0209,0.0000,0.0000,0.0000,0.0671
0.1807,0.1351,3.3085,-0.2215,-0.0181,0.0000,0.0000,0.0000,0.0637
0.1719,0.1285,3.4086,-0.2197,-0.0154,0.0000,0.0000,0.0000,0.0605
0.1633,0.1222,3.5086,-0.2178,-0.0128,0.0000,0.0000,0.0000,0.0574
0.1551,0.1160,3.6086,-0.2158,-0.0104,0.0000,0.0000,0.0000,0.0544
0.1472,0.1101,3.7087,-0.2137,-0.0081,0.0000,0.0000,0.0000,0.0515
0.1396,0.1044,3.8087,-0.2116,-0.0058,0.0000,0.0000,0.0000,0.0487
0.1322,0.0989,3.9087,-0.2094,-0.0038,0.0000,0.0000,0.0000,0.0461
0.1251,0.0936,4.0087,-0.2071,-0.0018,0.0000,0.0000,0.0000,0.0435
0.1182,0.0885,4.1087,-0.2048,0.0001,0.0000,0.0000,0.0000,0.0410
0.1116,0.0836,4.2087,-0.2024,0.0019,0.0000,0.0000,0.0000,0.0386
0.1053,0.0789,4.3087,-0.2000,0.0035,0.0000,0.0000,0.0000,0.0363
0.0992,0.0743,4.4087,-0.1975,0.0051,0.0000,0.0000,0.0000,0.0341
0.0933,0.0699,4.5087,-0.1950,0.0066,0.0000,0.0000,0.0000,0.0319
0.0877,0.0657,4.6087,-0.1925,0.0080,0.0000,0.0000,0.0000,0.0299
0.0822,0.0617,4.7087,-0.1900,0.0093,0.0000,0.0000,0.0000,0.0279
0.0770,0.0578,4.8086,-0.1874,0.0105,0.0000,0.0000,0.0000,0.0261
0.0720,0.0540,4.9086,-0.1848,0.0117,0.0000,0.0000,0.0000,0.0243
0.0672,0.0505,5.0086,-0.1822,0.0128,0.0000,0.0000,0.0000,0.0225
0.0626,0.0470,5.1086,-0.1795,0.0138,0.0000,0.0000,0.0000,0.0209
0.0582,0.0437,5.2085,-0.1769,0.0147,0.0000,0.0000,0.0000,0.0193
0.0540,0.0406,5.3085,-0.1743,0.0156,0.0000,0.0000,0.0000,0.0178
0.0499,0.0376,5.4085,-0.1716,0.0164,0.0000,0.0000,0.0000,0.0163
0.0461,0.0347,5.5085,-0.1690,0.0172,0.0000,0.0000,0.0000,0.0150
0.0424,0.0319,5.6084,-0.1664,0.0179,0.0000,0.0000,0.0000,0.0136
0.0388,0.0293,5.7084,-0.1637,0.0185,0.0000,0.0000,0.0000,0.0124
0.0355,0.0267,5.8084,-0.1611,0.0191,0.0000,0.0000,0.0000,0.0112
0.0322,0.0243,5.9083,-0.1585,0.0196,0.0000,0.0000,0.0000,0.0101
0.0292,0.0221,6.0083,-0.1559,0.0201,0.0000,0.0000,0.0000,0.0090
0.0263,0.0199,6.1083,-0.1533,0.0205,0.0000,0.0000,0.0000,0.0080
0.0235,0.0178,6.2082,-0.1507,0.0209,0.0000,0.0000,0.0000,0.0070
0.0209,0.0159,6.3082,-0.1481,0.0213,0.0000,0.0000,0.0000,0.0061
0.0184,0.0140,6.4082,-0.1456,0.0216,0.0000,0.0000,0.0000,0.0052
0.0161,0.0122,6.5081,-0.1431,0.0219,0.0000,0.0000,0.0000,0.0044
0.0139,0.0106,6.6081,-0.1405,0.0221,0.0000,0.0000,0.0000,0.0036
0.0118,0.0090,6.7081,-0.1381,0.0224,0.0000,0.0000,0.0000,0.0029
0.0098,0.0076,6.8081,-0.1356,0.0225,0.0000,0.0000,0.0000,0.0023
0.0080,0.0062,6.9080,-0.1331,0.0227,0.0000,0.0000,0.0000,0.0016
0.0062,0.0049,7.0080,-0.1307,0.0228,0.0000,0.0000,0.0000,0.0011
0.0046,0.0037,7.1080,-0.1283,0.0229,0.0000,0.0000,0.0000,0.0005
0.0032,0.0026,7.2079,-0.1259,0.0230,0.0000,0.0000,0.0000,0.0000
0.0018,0.0015,7.3079,-0.1236,0.0230,0.0000,0.0000,0.0000,-0.0004
0.0005,0.0006,7.4079,-0.1212,0.0231,0.0000,0.0000,0.0000,-0.0008
-0.0006,-0.0003,7.5079,-0.1189,0.0231,0.0000,0.0000,0.0000,-0.0012
